month,asset_id,variance_type,variance_driver,variance_eur,commentary
2025-03-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-36684,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-03-01,A004,Opex,Rotterdam Battery D - Opex,-72959,Direct operating cost variance; negative values are adverse.
2025-03-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2651,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-03-01,A005,Price,Groningen Hydrogen Pilot E - Price,-2477,Actual realized price versus budgeted realized price.
2025-03-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-42335,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-03-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-03-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-98781,Hydrogen pilot ramp-up behind budgeted production curve.
2025-03-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-161655,Direct operating cost variance; negative values are adverse.
2025-03-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5707,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-04-01,A001,Price,Noordzee Wind A - Price,-248206,Actual realized price versus budgeted realized price.
2025-04-01,A001,Volume,Noordzee Wind A - Volume,89064,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-04-01,A001,Downtime,Noordzee Wind A - Downtime,-298186,Wind availability below budget due to unplanned maintenance/outage hours.
2025-04-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-04-01,A001,Opex,Noordzee Wind A - Opex,-296092,Direct operating cost variance; negative values are adverse.
2025-04-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6173,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-04-01,A002,Price,Flevoland Solar B - Price,-9909,Actual realized price versus budgeted realized price.
2025-04-01,A002,Volume,Flevoland Solar B - Volume,27055,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-04-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-04-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-04-01,A002,Opex,Flevoland Solar B - Opex,-1837,Direct operating cost variance; negative values are adverse.
2025-04-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1045,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-04-01,A003,Price,Brabant Solar C - Price,-3274,Actual realized price versus budgeted realized price.
2025-04-01,A003,Volume,Brabant Solar C - Volume,-4568,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-04-01,A003,Downtime,Brabant Solar C - Downtime,-925,Estimated EBITDA impact from unplanned downtime above budget.
2025-04-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-04-01,A003,Opex,Brabant Solar C - Opex,-2864,Direct operating cost variance; negative values are adverse.
2025-04-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-760,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-04-01,A004,Price,Rotterdam Battery D - Price,-27301,Actual realized price versus budgeted realized price.
2025-04-01,A004,Volume,Rotterdam Battery D - Volume,-21639,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-04-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-04-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-50490,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-04-01,A004,Opex,Rotterdam Battery D - Opex,-73126,Direct operating cost variance; negative values are adverse.
2025-04-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2604,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-04-01,A005,Price,Groningen Hydrogen Pilot E - Price,-2371,Actual realized price versus budgeted realized price.
2025-04-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-40013,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-04-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-04-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-93363,Hydrogen pilot ramp-up behind budgeted production curve.
2025-04-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-163364,Direct operating cost variance; negative values are adverse.
2025-04-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5698,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-05-01,A001,Price,Noordzee Wind A - Price,-251986,Actual realized price versus budgeted realized price.
2025-05-01,A001,Volume,Noordzee Wind A - Volume,-98075,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-05-01,A001,Downtime,Noordzee Wind A - Downtime,-192436,Wind availability below budget due to unplanned maintenance/outage hours.
2025-05-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-05-01,A001,Opex,Noordzee Wind A - Opex,-246925,Direct operating cost variance; negative values are adverse.
2025-05-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6156,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-05-01,A002,Price,Flevoland Solar B - Price,7991,Actual realized price versus budgeted realized price.
2025-05-01,A002,Volume,Flevoland Solar B - Volume,26644,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-05-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-05-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-05-01,A002,Opex,Flevoland Solar B - Opex,-2297,Direct operating cost variance; negative values are adverse.
2025-05-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1068,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-05-01,A003,Price,Brabant Solar C - Price,-6352,Actual realized price versus budgeted realized price.
2025-05-01,A003,Volume,Brabant Solar C - Volume,9010,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-05-01,A003,Downtime,Brabant Solar C - Downtime,-1977,Estimated EBITDA impact from unplanned downtime above budget.
2025-05-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-05-01,A003,Opex,Brabant Solar C - Opex,-2376,Direct operating cost variance; negative values are adverse.
2025-05-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-739,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-05-01,A004,Price,Rotterdam Battery D - Price,1676,Actual realized price versus budgeted realized price.
2025-05-01,A004,Volume,Rotterdam Battery D - Volume,-18893,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-05-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-05-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-44084,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-05-01,A004,Opex,Rotterdam Battery D - Opex,-28292,Direct operating cost variance; negative values are adverse.
2025-05-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2631,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-05-01,A005,Price,Groningen Hydrogen Pilot E - Price,-5510,Actual realized price versus budgeted realized price.
2025-05-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-45131,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-05-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-05-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-105307,Hydrogen pilot ramp-up behind budgeted production curve.
2025-05-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-167483,Direct operating cost variance; negative values are adverse.
2025-05-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5699,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-06-01,A001,Price,Noordzee Wind A - Price,-304636,Actual realized price versus budgeted realized price.
2025-06-01,A001,Volume,Noordzee Wind A - Volume,-112748,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-06-01,A001,Downtime,Noordzee Wind A - Downtime,-14351,Estimated EBITDA impact from unplanned downtime above budget.
2025-06-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-06-01,A001,Opex,Noordzee Wind A - Opex,-64874,Direct operating cost variance; negative values are adverse.
2025-06-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5973,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-06-01,A002,Price,Flevoland Solar B - Price,3979,Actual realized price versus budgeted realized price.
2025-06-01,A002,Volume,Flevoland Solar B - Volume,41325,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-06-01,A002,Downtime,Flevoland Solar B - Downtime,-1851,Estimated EBITDA impact from unplanned downtime above budget.
2025-06-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-06-01,A002,Opex,Flevoland Solar B - Opex,-3776,Direct operating cost variance; negative values are adverse.
2025-06-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-996,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-06-01,A003,Price,Brabant Solar C - Price,-3691,Actual realized price versus budgeted realized price.
2025-06-01,A003,Volume,Brabant Solar C - Volume,18296,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-06-01,A003,Downtime,Brabant Solar C - Downtime,-1037,Estimated EBITDA impact from unplanned downtime above budget.
2025-06-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-06-01,A003,Opex,Brabant Solar C - Opex,-1493,Direct operating cost variance; negative values are adverse.
2025-06-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-785,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-06-01,A004,Price,Rotterdam Battery D - Price,33125,Actual realized price versus budgeted realized price.
2025-06-01,A004,Volume,Rotterdam Battery D - Volume,-19220,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-06-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-06-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-44847,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-06-01,A004,Opex,Rotterdam Battery D - Opex,-28458,Direct operating cost variance; negative values are adverse.
2025-06-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2609,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-06-01,A005,Price,Groningen Hydrogen Pilot E - Price,-2126,Actual realized price versus budgeted realized price.
2025-06-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-47549,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-06-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-06-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-110948,Hydrogen pilot ramp-up behind budgeted production curve.
2025-06-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-169003,Direct operating cost variance; negative values are adverse.
2025-06-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5707,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-07-01,A001,Price,Noordzee Wind A - Price,-256046,Actual realized price versus budgeted realized price.
2025-07-01,A001,Volume,Noordzee Wind A - Volume,81758,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-07-01,A001,Downtime,Noordzee Wind A - Downtime,-13463,Estimated EBITDA impact from unplanned downtime above budget.
2025-07-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-07-01,A001,Opex,Noordzee Wind A - Opex,-57851,Direct operating cost variance; negative values are adverse.
2025-07-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6080,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-07-01,A002,Price,Flevoland Solar B - Price,-4051,Actual realized price versus budgeted realized price.
2025-07-01,A002,Volume,Flevoland Solar B - Volume,-7404,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-07-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-07-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-07-01,A002,Opex,Flevoland Solar B - Opex,-2089,Direct operating cost variance; negative values are adverse.
2025-07-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-996,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-07-01,A003,Price,Brabant Solar C - Price,-3276,Actual realized price versus budgeted realized price.
2025-07-01,A003,Volume,Brabant Solar C - Volume,23855,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-07-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-07-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-07-01,A003,Opex,Brabant Solar C - Opex,-1340,Direct operating cost variance; negative values are adverse.
2025-07-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-719,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-07-01,A004,Price,Rotterdam Battery D - Price,-24742,Actual realized price versus budgeted realized price.
2025-07-01,A004,Volume,Rotterdam Battery D - Volume,-3668,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-07-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-07-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-8558,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-07-01,A004,Opex,Rotterdam Battery D - Opex,-28625,Direct operating cost variance; negative values are adverse.
2025-07-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2596,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-07-01,A005,Price,Groningen Hydrogen Pilot E - Price,2333,Actual realized price versus budgeted realized price.
2025-07-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-48916,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-07-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-07-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-114137,Hydrogen pilot ramp-up behind budgeted production curve.
2025-07-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-173311,Direct operating cost variance; negative values are adverse.
2025-07-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5717,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-08-01,A001,Price,Noordzee Wind A - Price,-300120,Actual realized price versus budgeted realized price.
2025-08-01,A001,Volume,Noordzee Wind A - Volume,-42180,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-08-01,A001,Downtime,Noordzee Wind A - Downtime,-15055,Estimated EBITDA impact from unplanned downtime above budget.
2025-08-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-08-01,A001,Opex,Noordzee Wind A - Opex,-62362,Direct operating cost variance; negative values are adverse.
2025-08-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6033,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-08-01,A002,Price,Flevoland Solar B - Price,-16519,Actual realized price versus budgeted realized price.
2025-08-01,A002,Volume,Flevoland Solar B - Volume,-14558,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-08-01,A002,Downtime,Flevoland Solar B - Downtime,-3435,Estimated EBITDA impact from unplanned downtime above budget.
2025-08-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-08-01,A002,Opex,Flevoland Solar B - Opex,-3044,Direct operating cost variance; negative values are adverse.
2025-08-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-997,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-08-01,A003,Price,Brabant Solar C - Price,-14521,Actual realized price versus budgeted realized price.
2025-08-01,A003,Volume,Brabant Solar C - Volume,8534,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-08-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-08-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-08-01,A003,Opex,Brabant Solar C - Opex,-2651,Direct operating cost variance; negative values are adverse.
2025-08-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-726,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-08-01,A004,Price,Rotterdam Battery D - Price,-31065,Actual realized price versus budgeted realized price.
2025-08-01,A004,Volume,Rotterdam Battery D - Volume,-18322,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-08-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-08-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-42751,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-08-01,A004,Opex,Rotterdam Battery D - Opex,-28791,Direct operating cost variance; negative values are adverse.
2025-08-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2637,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-08-01,A005,Price,Groningen Hydrogen Pilot E - Price,-4979,Actual realized price versus budgeted realized price.
2025-08-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-61189,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-08-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-08-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-142774,Hydrogen pilot ramp-up behind budgeted production curve.
2025-08-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-176225,Direct operating cost variance; negative values are adverse.
