month,asset_id,production_mwh,realized_price_eur_mwh,revenue_eur,direct_opex_eur,allocated_overhead_eur,ebitda_eur,capex_eur,utilization_pct,downtime_hours,availability_pct
2025-08-01,A002,11408.2,56.0,638862,131506,42000,465356,8000,0.2044,2,0.9973
2025-08-01,A003,6388.6,56.0,357763,77444,30000,250319,8000,0.2044,2,0.9973
2025-08-01,A004,13060,40.4,527624,287912,65000,174712,175000,0.2926,6,0.9919
2025-08-01,A005,4255.7,118,502170,726409,95000,-319239,650000,0.286,12,0.9839
2025-09-01,A001,46267.2,74.0,3423773,1020138,150000,2253635,60000,0.357,6,0.9917
2025-09-01,A002,8346.8,67.0,559232,121710,42000,395523,30000,0.1546,2,0.9972
2025-09-01,A003,4674.2,67.0,313170,71957,30000,211213,30000,0.1546,2,0.9972
2025-09-01,A004,13380,40.95,547911,289576,65000,193335,70000,0.3097,18,0.975
2025-09-01,A005,4363.2,118,514858,734150,95000,-314293,650000,0.303,12,0.9833
2025-10-01,A001,54734.4,82.0,4488221,1207875,150000,3130346,250000,0.4087,20,0.9731
2025-10-01,A002,5843.2,75.0,438244,113698,42000,282545,8000,0.1047,2,0.9973
2025-10-01,A003,3272.2,75.0,245416,67471,30000,147945,8000,0.1047,2,0.9973
2025-10-01,A004,13700,41.5,568550,291240,65000,212310,70000,0.3069,6,0.9919
2025-10-01,A005,4761.6,118,561869,762835,95000,-295966,650000,0.32,12,0.9839
2025-11-01,A001,60404.4,88.0,5315587,1133235,150000,4032352,60000,0.4661,6,0.9917
2025-11-01,A002,3480.8,81.0,281941,106138,42000,133802,8000,0.0645,6,0.9917
2025-11-01,A003,1949.2,81.0,157887,63238,30000,64649,8000,0.0645,6,0.9917
2025-11-01,A004,15420,47.05,725511,300184,65000,360327,70000,0.3569,6,0.9917
2025-11-01,A005,4852.8,118,572630,769402,95000,-291771,650000,0.337,35,0.9514
2025-12-01,A001,67748.4,94.0,6368350,1191987,150000,5026362,60000,0.5059,6,0.9919
2025-12-01,A002,2782.5,87.0,242078,103904,42000,96174,8000,0.0499,2,0.9973
2025-12-01,A003,1558.2,87.0,135563,61986,30000,43577,8000,0.0499,2,0.9973
2025-12-01,A004,15740,47.6,749224,301848,65000,382376,70000,0.3526,6,0.9919
2025-12-01,A005,5267.5,118,621567,799261,95000,-272694,650000,0.354,12,0.9839
2026-01-01,A001,66420.0,88.48,5876842,1181360,150000,4545482,60000,0.496,6,0.9919
2026-01-01,A002,3060.8,81.48,249390,104794,42000,102596,8000,0.0549,2,0.9973
2026-01-01,A003,1714.0,81.48,139658,62485,30000,47173,8000,0.0549,2,0.9973
2026-01-01,A004,16060,48.15,773289,303512,65000,404777,70000,0.3598,6,0.9919
2026-01-01,A005,5520.5,118,651417,817475,95000,-261058,420000,0.371,12,0.9839
2026-02-01,A001,56343.6,84.64,4768922,1100749,150000,3518174,60000,0.4658,6,0.9911
2026-02-01,A002,3996.0,77.64,310249,107787,42000,160462,8000,0.0793,6,0.9911
2026-02-01,A003,2237.8,77.64,173740,64161,30000,79579,8000,0.0793,6,0.9911
2026-02-01,A004,16380,48.7,797706,305176,65000,427530,70000,0.4062,6,0.9911
2026-02-01,A005,5214.7,118,615337,795460,95000,-275123,420000,0.388,12,0.9821
2026-03-01,A001,58449.6,78.88,4610504,1117597,150000,3342908,60000,0.4365,6,0.9919
2026-03-01,A002,6678.0,71.88,480015,116370,42000,321645,30000,0.1197,2,0.9973
2026-03-01,A003,3739.7,71.88,268808,68967,30000,169841,30000,0.1197,2,0.9973
2026-03-01,A004,15300,44.25,677025,299560,65000,312465,70000,0.3427,18,0.9758
2026-03-01,A005,6026.4,118,711115,853901,95000,-237786,420000,0.405,12,0.9839
2026-04-01,A001,47880.0,73.12,3500986,1153040,150000,2197946,250000,0.3694,20,0.9722
2026-04-01,A002,8616.0,66.12,569690,122571,42000,405119,8000,0.1596,2,0.9972
2026-04-01,A003,4825.0,66.12,319026,72440,30000,216586,8000,0.1596,2,0.9972
2026-04-01,A004,15620,44.8,699776,301224,65000,333552,70000,0.3616,6,0.9917
2026-04-01,A005,6076.8,118,717062,857530,95000,-235467,420000,0.422,12,0.9833
2026-05-01,A001,43837.2,68.32,2994958,1000698,150000,1844260,60000,0.3273,6,0.9919
2026-05-01,A002,11130.0,56.32,626842,130616,42000,454226,8000,0.1995,2,0.9973
2026-05-01,A003,6232.8,56.32,351031,76945,30000,244086,8000,0.1995,2,0.9973
2026-05-01,A004,15940,45.35,722879,302888,65000,354991,70000,0.3571,6,0.9919
2026-05-01,A005,6532.3,118,770814,890327,95000,-214513,420000,0.439,35,0.953
2026-06-01,A001,38556.0,64.48,2486091,958448,150000,1377643,60000,0.2975,6,0.9917
2026-06-01,A002,12116.2,52.48,635861,133772,42000,460089,8000,0.2244,2,0.9972
2026-06-01,A003,6785.1,52.48,356082,78712,30000,247370,8000,0.2244,2,0.9972
2026-06-01,A004,16260,45.9,746334,304552,65000,376782,70000,0.3764,6,0.9917
2026-06-01,A005,6566.4,118,774835,892781,95000,-212946,420000,0.456,12,0.9833
2026-07-01,A001,38523.6,62.56,2410036,958189,150000,1301848,60000,0.2877,6,0.9919
2026-07-01,A002,12799.5,50.56,647143,135958,42000,469184,8000,0.2294,2,0.9973
2026-07-01,A003,7167.7,50.56,362400,79937,30000,252463,8000,0.2294,2,0.9973
2026-07-01,A004,16580,46.45,770141,306216,65000,398925,70000,0.3714,6,0.9919
2026-07-01,A005,7038.2,118,830512,926753,95000,-191241,420000,0.473,12,0.9839
2026-08-01,A001,41180.4,65.44,2694845,979443,150000,1565402,60000,0.3075,6,0.9919
2026-08-01,A002,11408.2,53.44,609657,131506,42000,436150,8000,0.2044,2,0.9973
2026-08-01,A003,6388.6,53.44,341408,77444,30000,233964,8000,0.2044,2,0.9973
2026-08-01,A004,16900,47.0,794300,307880,65000,421420,70000,0.3786,6,0.9919
2026-08-01,A005,7291.2,118,860362,944966,95000,-179605,420000,0.49,12,0.9839
2026-09-01,A001,46267.2,71.2,3294225,1020138,150000,2124087,60000,0.357,6,0.9917
2026-09-01,A002,8346.8,64.2,535861,121710,42000,372152,30000,0.1546,2,0.9972
2026-09-01,A003,4674.2,64.2,300082,71957,30000,198125,30000,0.1546,2,0.9972
2026-09-01,A004,17220,47.55,818811,309544,65000,444267,70000,0.3986,18,0.975
2026-09-01,A005,7300.8,118,861494,945658,95000,-179163,420000,0.507,12,0.9833
2026-10-01,A001,54734.4,78.88,4317449,1207875,150000,2959574,250000,0.4087,20,0.9731
2026-10-01,A002,5843.2,71.88,420013,113698,42000,264314,8000,0.1047,2,0.9973
2026-10-01,A003,3272.2,71.88,235207,67471,30000,137736,8000,0.1047,2,0.9973
2026-10-01,A004,17540,48.1,843674,311208,65000,467466,70000,0.3929,6,0.9919
2026-10-01,A005,7797.1,118,920060,981393,95000,-156332,420000,0.524,12,0.9839
2026-11-01,A001,60404.4,84.64,5112628,1133235,150000,3829393,60000,0.4661,6,0.9917
2026-11-01,A002,3480.8,77.64,270245,106138,42000,122107,8000,0.0645,6,0.9917
2026-11-01,A003,1949.2,77.64,151337,63238,30000,58100,8000,0.0645,6,0.9917
2026-11-01,A004,19260,53.65,1033299,320152,65000,648147,70000,0.4458,6,0.9917
2026-11-01,A005,7776.0,118,917568,979872,95000,-157304,420000,0.54,35,0.9514
2026-12-01,A001,67748.4,90.4,6124455,1191987,150000,4782468,60000,0.5059,6,0.9919
2026-12-01,A002,2782.5,83.4,232060,103904,42000,86156,8000,0.0499,2,0.9973
2026-12-01,A003,1558.2,83.4,129954,61986,30000,37968,8000,0.0499,2,0.9973
2026-12-01,A004,19580,54.2,1061236,321816,65000,674420,70000,0.4386,6,0.9919
2026-12-01,A005,8035.2,118,948154,998534,95000,-145381,420000,0.54,12,0.9839
