month,asset_id,production_mwh,realized_price_eur_mwh,revenue_eur,direct_opex_eur,allocated_overhead_eur,ebitda_eur,capex_eur,utilization_pct,downtime_hours,availability_pct
2025-05-01,A001,39745.5,64.66,2569789,1247623,156000,1166166,69000,0.2968,52,0.9301
2025-05-01,A002,11581.6,59.69,691288,132913,43050,515325,7616,0.2076,2,0.9973
2025-05-01,A003,6352.0,58.0,368427,79321,30750,258356,8109,0.2033,6,0.9919
2025-05-01,A004,10474.8,38.91,407543,311212,67600,28731,185500,0.2347,6,0.9919
2025-05-01,A005,2221.9,115.52,256675,839253,100700,-683278,850000,0.1493,59,0.9207
2025-06-01,A001,36659.0,58.69,2151544,1023322,156000,972222,61200,0.2829,10,0.9861
2025-06-01,A002,12833.9,55.31,709900,137548,43050,529302,7530,0.2377,4,0.9944
2025-06-01,A003,7098.9,54.48,386713,80205,30750,275758,7958,0.2348,4,0.9944
2025-06-01,A004,10789.8,42.37,457155,313042,67600,76513,210000,0.2498,6,0.9917
2025-06-01,A005,2285.6,117.07,267570,850277,100700,-683408,676000,0.1587,24,0.9667
2025-07-01,A001,39574.3,58.53,2316204,1016040,156000,1144164,61200,0.2955,10,0.9866
2025-07-01,A002,12659.8,52.68,666972,138047,43050,485875,8531,0.2269,2,0.9973
2025-07-01,A003,7617.8,52.57,400500,81277,30750,288473,8416,0.2438,2,0.9973
2025-07-01,A004,12433.2,37.86,470725,314873,67600,88252,210000,0.2785,18,0.9758
2025-07-01,A005,2620.9,118.89,311585,881507,100700,-670623,676000,0.1761,30,0.9597
2025-08-01,A001,40338.7,60.56,2442879,1041805,156000,1245073,61200,0.3012,10,0.9866
2025-08-01,A002,11086.9,54.51,604403,134550,43050,426803,8301,0.1987,6,0.9919
2025-08-01,A003,6541.0,53.78,351800,80095,30750,240955,7454,0.2093,2,0.9973
2025-08-01,A004,11548.3,37.71,435449,316703,67600,51146,185500,0.2587,14,0.9812
2025-08-01,A005,2527.2,116.03,293234,902634,100700,-710100,676000,0.1698,42,0.9435
2025-09-01,A001,46217.4,68.39,3160938,1111051,156000,1893887,61200,0.3566,6,0.9917
2025-09-01,A002,8211.4,66.22,543772,124778,43050,375944,28166,0.1521,6,0.9917
2025-09-01,A003,4650.1,65.97,306782,74758,30750,201274,27925,0.1538,6,0.9917
2025-09-01,A004,12973.3,42.75,554551,318534,67600,168418,74200,0.3003,18,0.975
2025-09-01,A005,2689.7,116.45,313223,911614,100700,-699092,676000,0.1868,24,0.9667
2025-10-01,A001,52772.7,74.81,3947899,1270696,156000,2521203,255000,0.3941,20,0.9731
2025-10-01,A002,5801.5,73.12,424229,118326,43050,262854,8069,0.104,2,0.9973
2025-10-01,A003,3174.2,76.5,242820,70040,30750,142029,8910,0.1016,2,0.9973
2025-10-01,A004,13946.7,45.0,627569,320364,67600,239605,74200,0.3124,10,0.9866
2025-10-01,A005,2936.6,117.04,343689,944889,100700,-701899,676000,0.1973,42,0.9435
2025-11-01,A001,55148.4,77.29,4262381,1357553,156000,2748828,69000,0.4255,42,0.9417
2025-11-01,A002,3438.8,81.15,279046,109844,43050,126152,8613,0.0637,10,0.9861
2025-11-01,A003,1900.5,79.2,150521,65897,30750,53873,8287,0.0628,10,0.9861
2025-11-01,A004,15176.6,50.49,766295,330202,67600,368492,74200,0.3513,6,0.9917
2025-11-01,A005,2874.9,117.02,336418,952506,100700,-716788,676000,0.1996,53,0.9264
2025-12-01,A001,70531.4,83.03,5855922,1256702,156000,4443220,61200,0.5267,6,0.9919
2025-12-01,A002,2873.0,84.75,243480,105628,43050,94801,8784,0.0515,2,0.9973
2025-12-01,A003,1593.9,83.73,133451,62945,30750,39756,8412,0.051,2,0.9973
2025-12-01,A004,15760.7,47.88,754550,332033,67600,354917,74200,0.3531,14,0.9812
2025-12-01,A005,3175.9,118.01,374787,987143,100700,-713056,676000,0.2134,30,0.9597
2026-01-01,A001,65041.3,85.07,5532814,1252241,156000,4124572,61200,0.4857,10,0.9866
2026-01-01,A002,3229.2,82.8,267367,106186,43050,118131,8354,0.0579,4,0.9946
2026-01-01,A003,1666.6,79.26,132098,63794,30750,37554,8853,0.0533,2,0.9973
2026-01-01,A004,16969.3,53.32,904889,321723,67600,515567,74200,0.3801,14,0.9812
2026-01-01,A005,4225.7,116.86,493810,967397,100700,-574287,483000,0.284,36,0.9516
2026-02-01,A001,54611.0,80.72,4407942,1319164,156000,2932778,69000,0.4515,34,0.9494
2026-02-01,A002,4231.3,75.16,318027,109562,43050,165415,7531,0.084,6,0.9911
2026-02-01,A003,2220.4,77.35,171751,66376,30750,74625,7686,0.0787,6,0.9911
2026-02-01,A004,17015.7,49.13,836021,323487,67600,444935,74200,0.422,18,0.9732
2026-02-01,A005,3976.5,118.8,472407,942960,100700,-571254,483000,0.2959,24,0.9643
2026-03-01,A001,58942.2,76.66,4518724,1170352,156000,3192372,61200,0.4401,6,0.9919
2026-03-01,A002,6940.5,71.75,497996,118797,43050,336149,32047,0.1244,4,0.9946
2026-03-01,A003,3798.0,69.49,263910,71819,30750,161342,31746,0.1215,6,0.9919
2026-03-01,A004,15118.8,43.19,653035,317534,67600,267902,74200,0.3387,26,0.9651
2026-03-01,A005,4766.8,115.66,551331,1007830,100700,-557199,483000,0.3203,30,0.9597
2026-04-01,A001,46722.5,71.4,3336178,1250825,156000,1929353,255000,0.3605,20,0.9722
2026-04-01,A002,9089.0,64.31,584498,125082,43050,416366,7524,0.1683,2,0.9972
2026-04-01,A003,5097.4,66.45,338715,75393,30750,232571,7739,0.1686,6,0.9917
2026-04-01,A004,16874.4,49.82,840626,319297,67600,453728,74200,0.3906,10,0.9861
2026-04-01,A005,4962.5,115.15,571440,1011858,100700,-541118,436800,0.3446,36,0.95
2026-05-01,A001,44455.7,64.46,2865449,1086295,156000,1623154,61200,0.332,14,0.9812
2026-05-01,A002,10888.2,56.44,614497,133813,43050,437634,7422,0.1951,4,0.9946
2026-05-01,A003,6120.1,56.83,347786,79008,30750,238028,7848,0.1959,6,0.9919
2026-05-01,A004,18926.9,46.29,876095,321061,67600,487433,74200,0.424,6,0.9919
2026-05-01,A005,5210.4,116.7,608029,1048263,100700,-540934,436800,0.3502,59,0.9207
2026-06-01,A001,40163.4,58.4,2345717,1032320,156000,1157398,61200,0.3099,6,0.9917
2026-06-01,A002,12445.8,53.04,660091,136840,43050,480201,7404,0.2305,6,0.9917
2026-06-01,A003,6650.2,53.41,355198,80362,30750,244086,7533,0.2199,4,0.9944
2026-06-01,A004,18665.8,51.03,952593,322825,67600,562168,74200,0.4321,14,0.9806
2026-06-01,A005,5111.6,119.11,608864,1050987,100700,-542823,436800,0.355,24,0.9667
2026-07-01,A001,39437.8,56.31,2220609,1003434,156000,1061175,61200,0.2945,14,0.9812
2026-07-01,A002,12287.1,51.35,630886,139922,43050,447914,8511,0.2202,6,0.9919
2026-07-01,A003,7177.9,48.75,349922,82569,30750,236604,7888,0.2297,2,0.9973
2026-07-01,A004,18961.3,52.87,1002438,324589,67600,610249,74200,0.4248,14,0.9812
2026-07-01,A005,6087.9,117.8,717180,1088696,100700,-472216,436800,0.4091,36,0.9516
2026-08-01,A001,41333.6,60.43,2497962,1032913,156000,1309049,61200,0.3086,14,0.9812
2026-08-01,A002,11718.1,54.2,635090,135644,43050,456396,7842,0.21,6,0.9919
2026-08-01,A003,6359.2,51.98,330525,80276,30750,219499,8331,0.2035,2,0.9973
2026-08-01,A004,19580.9,50.53,989420,326353,67600,595467,74200,0.4386,10,0.9866
2026-08-01,A005,6309.5,118.33,746590,1108913,100700,-463022,436800,0.424,30,0.9597
2026-09-01,A001,45035.5,68.42,3081141,1097630,156000,1827510,61200,0.3475,6,0.9917
2026-09-01,A002,8737.7,64.53,563805,125748,43050,395007,28948,0.1618,2,0.9972
2026-09-01,A003,4579.5,61.81,283056,75017,30750,177290,31268,0.1514,2,0.9972
2026-09-01,A004,21381.1,51.52,1101484,328117,67600,705767,74200,0.4949,22,0.9694
2026-09-01,A005,6460.9,116.64,753570,1109680,100700,-456809,436800,0.4487,42,0.9417
2026-10-01,A001,50935.5,75.92,3867029,1408541,156000,2302489,287500,0.3803,42,0.9435
2026-10-01,A002,6093.6,69.95,426238,117919,43050,265269,8473,0.1092,2,0.9973
2026-10-01,A003,3157.0,70.08,221242,70065,30750,120427,8090,0.101,6,0.9919
2026-10-01,A004,22124.5,54.14,1197732,329880,67600,800252,74200,0.4956,14,0.9812
2026-10-01,A005,7071.0,118.73,839551,1149346,100700,-410494,436800,0.4752,42,0.9435
2026-11-01,A001,61801.4,81.78,5054082,1211127,156000,3686956,61200,0.4769,14,0.9806
2026-11-01,A002,3610.5,78.45,283229,108401,43050,131778,8604,0.0669,8,0.9889
2026-11-01,A003,1991.9,75.81,151016,64207,30750,56060,7817,0.0659,10,0.9861
2026-11-01,A004,22954.9,57.53,1320634,339361,67600,913673,74200,0.5314,6,0.9917
2026-11-01,A005,6454.8,116.01,748788,1147658,100700,-499570,436800,0.4482,53,0.9264
2026-12-01,A001,64457.4,85.32,5499795,1277966,156000,4065829,61200,0.4813,6,0.9919
2026-12-01,A002,2687.9,84.23,226404,106469,43050,76885,8592,0.0482,6,0.9919
2026-12-01,A003,1637.2,83.9,137350,63499,30750,43100,7369,0.0524,2,0.9973
2026-12-01,A004,23855.5,62.44,1489617,341125,67600,1080892,74200,0.5344,18,0.9758
2026-12-01,A005,6973.9,118.08,823503,1168373,100700,-445570,436800,0.4687,30,0.9597
